1,Time,The way in which mugging was done and property looted,Latitude,Longitute,,,,,,,,,,,
2,12:00-15:00,Snatching by walk & escaping with bike,13.01561604,77.678186,,,,,,,,,,,
3,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.96431496,77.64460989,,,,,,,,,,,
4,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.0282613035,77.6267410472,,,,,,,,,,,
5,12:00-15:00,Snatching by walk & escaping with bike,13.0249031393,77.6583978328,,,,,,,,,,,
6,21:00-00:00,Snatching while on the move (Accused on bike) from back,13.000091696,77.6773229784,,,,,,,,,,,
7,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9923153999,77.6689137,,,,,,,,,,,
8,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.01580594,77.63797832,,,,,,,,,,,
9,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.00549701,77.65203221,,,,,,,,,,,
10,12:00-15:00,Snatching while on the move (Accused on bike) from back,13.0227888,77.70735644,,,,,,,,,,,
11,12:00-15:00,Snatching by walk & escaping with bike,12.9894777894,77.6897704807,,,,,,,,,,,
12,12:00-15:00,Snatching while on the move (Accused on bike) from front,13.00045617,77.66097123,,,,,,,,,,,
13,15:00-18:00,Snatching while on the move (Accused on bike) from back,13.0074564899,77.7150428866,,,,,,,,,,,
14,15:00-18:00,Snatching while on the move (Accused on bike) from back,13.0195264,77.70783568,,,,,,,,,,,
15,15:00-18:00,Attention diversion by indulging in small talk,13.02024385,77.6445026,,,,,,,,,,,
16,18:00-21:00,Snatching while on the move (Accused on bike) from back,13.0296771112,77.6510998678,,,,,,,,,,,
17,06:00-09:00,Attention diversion by indulging in small talk,13.01555832,77.65988008,,,,,,,,,,,
18,09:00-12:00,Snatching while on the move (Accused on bike) from back,13.0018136661,77.6176168621,,,,,,,,,,,
19,09:00-12:00,Snatching with assault,13.014642,77.65252464,,,,,,,,,,,
20,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.99399,77.656767,,,,,,,,,,,
21,12:00-15:00,By other techniques ,12.98702,77.645349,,,,,,,,,,,
22,03:00-06:00,Accused came in 3 or 4 wheeler,12.97079744,77.64299944,,,,,,,,,,,
23,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.00926701,77.69464414,,,,,,,,,,,
24,09:00-12:00,Attention diversion by indulging in small talk,13.01912912,77.68492,,,,,,,,,,,
25,18:00-21:00,Attention diversion by indulging in small talk,13.02826709,77.66663042,,,,,,,,,,,
26,06:00-09:00,Snatching by walk & escaping with bike,12.9957249516,77.6272003261,,,,,,,,,,,
